City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kodiak,57.79,-152.4072,15.31,86,0,5.75,US,1702617941
83,colonia,50.9333,6.95,44.85,89,100,4.61,DE,1702617749
84,hadibu,12.65,54.0333,78.46,69,25,15.99,YE,1702617941
85,xiongzhou,25.1167,114.3,80.78,61,78,4.09,CN,1702617941
86,talnakh,69.4865,88.3972,-12.8,98,100,6.02,RU,1702617941
87,florence,43.7667,11.25,49.3,90,0,2.3,IT,1702617664
88,bilibino,68.0546,166.4372,-14.64,87,3,7.99,RU,1702617942
89,rocha,-34.4833,-54.3333,66.47,96,100,5.7,UY,1702617942
90,monte caseros,-30.2536,-57.6363,78.58,86,100,12.86,AR,1702617846
91,geraldton,-28.7667,114.6,93.61,22,99,19.57,AU,1702617942
92,usinsk,65.9939,57.5281,-5.44,100,87,7.25,RU,1702617942
93,at taraf,25.3628,49.725,57.74,52,0,12.12,SA,1702617943
94,castillos,-34.1667,-53.8333,67.55,92,100,5.7,UY,1702617943
95,pitimbu,-7.4706,-34.8086,75.79,80,73,9.89,BR,1702617943
96,badger,64.8,-147.5333,-19.64,74,40,0.0,US,1702617943
97,nova sintra,14.8667,-24.7167,71.71,78,100,8.59,CV,1702617943
98,sisimiut,66.9395,-53.6735,7.02,79,100,16.55,GL,1702617944
99,minas de marcona,-15.2119,-75.1103,61.25,85,49,7.67,PE,1702617944
100,newport,51.5877,-2.9984,45.14,88,76,4.7,GB,1702617753
101,west island,-12.1568,96.8225,84.18,65,84,9.22,CC,1702617944
102,tiksi,71.6872,128.8694,3.15,97,100,8.93,RU,1702617945
103,lebu,-37.6167,-73.65,50.34,89,10,3.74,CL,1702617945
104,laojunmiao,39.8333,97.7333,6.26,48,3,4.65,CN,1702617945
105,nuuk,64.1835,-51.7216,14.61,62,99,13.8,GL,1702617945
106,thabazimbi,-24.5917,27.4116,75.06,58,100,2.37,ZA,1702617945
107,argo,37.6333,22.7333,56.5,85,42,3.29,GR,1702617946
108,afaahiti,-17.75,-149.2833,80.47,82,100,20.98,PF,1702617946
109,rongelap,11.1635,166.8941,81.25,81,61,19.17,MH,1702617946
110,east london,-33.0153,27.9116,65.34,82,20,10.36,ZA,1702617860
111,callao,-12.0667,-77.15,70.72,78,100,10.36,PE,1702617947
112,thompson,55.7435,-97.8558,32.16,55,0,19.57,CA,1702617947
113,genhe,50.7833,121.5167,-10.28,72,88,2.62,CN,1702617948
114,lihue,21.9789,-159.3672,71.19,58,100,25.32,US,1702617948
115,eirunepe,-6.6603,-69.8736,74.19,100,100,1.83,BR,1702617948
116,karratha,-20.7377,116.8463,89.42,45,6,15.59,AU,1702617948
117,forster,-32.1667,152.5167,74.37,80,22,6.06,AU,1702617949
118,labuan bajo,-8.4964,119.8877,87.22,63,50,10.89,ID,1702617949
119,pisco,-13.7,-76.2167,66.25,88,0,4.61,PE,1702617949
120,tura,25.5198,90.2201,70.92,51,7,2.06,IN,1702617949
121,klaksvik,62.2266,-6.589,45.52,76,98,29.42,FO,1702617949
122,vuktyl,63.8567,57.3094,6.53,95,100,6.26,RU,1702617950
123,ikalamavony,-21.15,46.5833,78.6,53,73,3.78,MG,1702617950
124,tabalah,19.95,42.4,52.84,34,0,5.57,SA,1702617950
125,xinyuan,37.3,99.0,1.31,27,0,17.87,CN,1702617950
126,codrington,-38.2667,141.9667,64.54,49,91,18.54,AU,1702617951
127,rouissat,31.9243,5.3502,48.27,57,0,5.75,DZ,1702617951
128,sechura,-5.5569,-80.8222,72.14,78,90,11.45,PE,1702617951
129,lianhe,47.1333,129.2667,2.93,57,100,5.08,CN,1702617951
130,portage la prairie,49.9728,-98.2926,27.1,58,56,6.13,CA,1702617701
131,yellowknife,62.456,-114.3525,-3.48,84,40,5.75,CA,1702617951
132,susuman,62.7833,148.1667,-8.01,97,100,7.0,RU,1702617952
133,kolobrzeg,54.1757,15.5834,36.97,84,96,17.49,PL,1702617952
134,ribeira grande,38.5167,-28.7,64.78,92,93,25.01,PT,1702617952
135,kuala belait,4.5833,114.1833,89.76,73,23,7.14,BN,1702617952
136,vilyuchinsk,52.9306,158.4028,25.07,73,99,22.37,RU,1702617952
137,talent,42.2457,-122.7887,46.98,82,0,0.0,US,1702617952
138,anadyr,64.75,177.4833,10.9,84,40,33.55,RU,1702617953
139,kiruna,67.8557,20.2251,-10.28,84,0,0.0,SE,1702617953
140,atafu village,-8.5421,-172.5159,83.16,78,97,15.08,TK,1702617953
141,cabo san lucas,22.8909,-109.9124,74.75,65,0,3.65,MX,1702617953
142,thinadhoo,0.5333,72.9333,82.87,72,50,4.74,MV,1702617953
143,opuwo,-18.0607,13.84,69.85,31,100,4.16,NA,1702617685
144,guerrero negro,27.9769,-114.0611,63.27,43,0,4.81,MX,1702617954
145,marsh harbour,26.5412,-77.0636,72.34,73,100,32.93,BS,1702617954
146,longyearbyen,78.2186,15.6401,30.04,80,40,3.44,SJ,1702617954
147,jamestown,42.097,-79.2353,42.39,66,0,12.66,US,1702617954
148,martinsburg,39.4562,-77.9639,37.56,61,0,3.44,US,1702617623
149,crane,31.3974,-102.3501,55.26,94,99,17.11,US,1702617954
150,margate,51.3813,1.3862,45.3,91,28,3.0,GB,1702617767
151,inongo,-1.95,18.2667,71.69,90,94,1.77,CD,1702617955
152,heilbron,-27.2812,27.9709,69.04,57,100,6.55,ZA,1702617955
153,kailua-kona,19.6406,-155.9956,75.51,76,0,26.46,US,1702617955
154,kone,-21.0595,164.8658,81.21,57,30,5.99,NC,1702617955
155,mount pearl,47.5166,-52.7813,23.14,72,100,19.57,CA,1702617955
156,st. john's,47.5649,-52.7093,23.97,71,100,19.57,CA,1702617692
157,dudinka,69.4058,86.1778,-11.33,94,79,18.01,RU,1702617956
158,kamphaeng phet,16.25,99.5,87.6,53,18,2.93,TH,1702617956
159,shangmei,27.7428,111.2956,39.38,86,100,10.63,CN,1702617956
160,vorgashor,67.5833,63.95,-9.2,100,94,4.34,RU,1702617956
161,chemolgan,43.1897,76.5292,4.66,75,84,2.59,KZ,1702617956
162,katghora,22.5,82.55,72.9,30,5,3.53,IN,1702617956
163,guajara mirim,-10.7828,-65.3394,75.76,92,89,1.88,BR,1702617957
164,arraial do cabo,-22.9661,-42.0278,74.28,91,23,23.4,BR,1702617939
165,chaville,48.8056,2.1886,46.47,96,100,6.91,FR,1702617957
166,harrisburg,40.2737,-76.8844,37.08,70,0,0.0,US,1702617957
167,visby,57.6409,18.296,28.81,74,100,8.05,SE,1702617957
168,samarinda,-0.5,117.15,91.09,58,80,1.48,ID,1702617957
169,daru,-9.0763,143.2092,87.15,68,99,3.69,PG,1702617957
170,el bayadh,33.6832,1.0193,31.75,92,0,7.99,DZ,1702617957
171,siwa oasis,29.2041,25.5195,55.85,64,28,7.05,EG,1702617958
172,acarau,-2.8856,-40.12,79.88,76,34,16.89,BR,1702617958
173,uturoa,-16.7333,-151.4333,81.64,83,82,19.55,PF,1702617958
174,tommot,58.9564,126.2925,-14.13,92,100,11.3,RU,1702617958
175,ust-nera,64.5667,143.2,-10.34,96,100,7.09,RU,1702617958
176,new norfolk,-42.7826,147.0587,64.71,34,100,4.25,AU,1702617959
177,mo i rana,66.3128,14.1428,13.32,85,100,3.0,NO,1702617755
178,rawson,-43.3002,-65.1023,67.78,38,2,9.06,AR,1702617959
179,laghouat,33.8,2.8651,40.03,81,0,12.37,DZ,1702617959
180,sai buri,6.7013,101.6168,83.97,84,97,11.88,TH,1702617959
181,cadiz,36.5,-5.75,47.12,59,0,4.45,ES,1702617959
182,malaryta,51.7905,24.074,31.75,91,95,8.97,BY,1702617959
183,avarua,-21.2078,-159.775,78.85,78,40,8.05,CK,1702617959
184,akureyri,65.6835,-18.0878,35.53,64,100,18.41,IS,1702617960
185,sassandra,4.95,-6.0833,77.77,80,0,4.03,CI,1702617960
186,kolonia town,6.964,158.206,84.2,79,100,6.91,FM,1702617960
187,greenfield,42.9614,-88.0126,39.36,77,0,8.05,US,1702617960
188,ambon,-3.6954,128.1814,91.67,66,40,10.36,ID,1702617960
189,enewetak,11.3474,162.3373,81.88,81,91,20.42,MH,1702617960
190,lazaro cardenas,17.9583,-102.2,79.0,63,99,4.09,MX,1702617961
191,fortuna,40.5982,-124.1573,45.52,100,0,0.0,US,1702617961
192,cartagena,10.3997,-75.5144,78.42,89,0,4.61,CO,1702617961
193,troitsko-pechorsk,62.7084,56.1964,6.53,97,100,4.94,RU,1702617961
194,prince rupert,54.3161,-130.3201,46.09,64,75,39.12,CA,1702617911
195,queenstown,-31.8976,26.8753,56.34,78,100,6.11,ZA,1702617702
196,ojinaga,29.5667,-104.4167,61.75,67,0,11.5,MX,1702617962
197,kuala terengganu,5.3302,103.1408,85.95,84,20,8.05,MY,1702617962
198,hami,42.8,93.45,13.19,36,0,4.65,CN,1702617963
199,taoudenni,22.6783,-3.9836,62.94,22,0,10.69,ML,1702617679
200,hammerfest,70.6634,23.6821,21.65,58,0,12.66,NO,1702617963
201,selfoss,63.9331,-20.9971,37.04,67,73,28.99,IS,1702617963
202,santana,-0.0583,-51.1817,82.58,78,0,5.75,BR,1702617964
203,mekhe,15.1097,-16.6218,68.09,20,42,10.36,SN,1702617964
204,pingdingshan,33.7385,113.3012,31.1,64,99,27.76,CN,1702617731
205,porto novo,6.4965,2.6036,75.02,67,9,3.8,BJ,1702617965
206,lewiston orchards,46.3804,-116.9754,43.27,77,100,6.91,US,1702617965
207,bar-le-duc,48.75,5.1667,41.38,91,97,5.91,FR,1702617965
208,tingo maria,-9.2895,-76.0088,71.13,99,89,1.43,PE,1702617965
209,yatou,37.15,122.3833,30.24,79,100,23.76,CN,1702617965
210,hasaki,35.7333,140.8333,57.29,87,100,18.63,JP,1702617966
211,puerto deseado,-47.7503,-65.8938,61.99,36,59,25.32,AR,1702617966
212,ta`u,-14.2336,-169.5144,78.76,86,99,11.72,AS,1702617966
213,la'ie,21.6477,-157.9253,71.62,58,8,25.95,US,1702617967
214,salacgriva,57.7536,24.3581,28.56,90,100,6.11,LV,1702617967
215,tazovsky,67.4667,78.7,-16.92,100,97,3.69,RU,1702617967
216,tual,-5.6667,132.75,83.64,75,67,19.86,ID,1702617968
217,saint-philippe,-21.3585,55.7679,84.11,80,25,11.5,RE,1702617968
218,abu jibeha,11.4562,31.2285,66.67,29,49,6.02,SD,1702617968
219,chonchi,-42.6128,-73.8092,52.81,96,100,10.11,CL,1702617969
220,palmer,42.1584,-72.3287,33.08,62,0,4.61,US,1702617970
221,zunyi,27.6867,106.9072,56.16,81,100,5.73,CN,1702617970
222,yeed,4.55,43.0333,79.99,60,60,14.88,SO,1702617970
223,kununurra,-15.7667,128.7333,102.18,35,100,6.91,AU,1702617971
224,la passe,45.5549,-0.8967,50.23,94,23,5.39,FR,1702617971
225,benghazi,32.1167,20.0667,63.39,58,83,19.66,LY,1702617972
226,upper grand lagoon,30.1633,-85.7408,55.42,52,100,11.5,US,1702617972
227,khandyga,62.6667,135.6,-34.58,99,100,2.42,RU,1702617972
228,konarka,19.9,86.1167,75.6,40,5,9.53,IN,1702617972
229,hovd,48.0056,91.6419,-2.16,68,5,2.77,MN,1702617972
230,nabire,-3.3667,135.4833,87.84,66,75,5.21,ID,1702617972
231,mendi,-6.1761,143.6513,62.73,94,100,2.44,PG,1702617973
232,sola,-13.8833,167.55,78.87,64,88,14.38,VU,1702617973
233,keflavik,64.0049,-22.5624,39.63,65,75,36.82,IS,1702617973
234,beloyarskiy,63.7119,66.6722,0.52,99,99,2.37,RU,1702617973
235,mwinilunga,-11.7358,24.4293,63.99,97,99,1.23,ZM,1702617974
236,ontario,34.0633,-117.6509,64.78,34,75,5.75,US,1702617974
237,griffith,41.5284,-87.4237,40.89,75,0,5.75,US,1702617882
238,paragominas,-2.9667,-47.4833,74.41,88,100,2.95,BR,1702617974
239,vadso,70.0744,29.7487,21.36,79,75,13.8,NO,1702617975
240,gorontalo,0.5412,123.0595,86.9,69,82,3.69,ID,1702617961
241,trincomalee,8.5711,81.2335,81.03,83,100,11.52,LK,1702617975
242,harnosand,62.6323,17.9379,10.4,94,100,2.06,SE,1702617975
243,lompoc,34.6391,-120.4579,61.79,89,100,8.01,US,1702617966
244,dhidhdhoo,6.8833,73.1,81.95,72,88,2.59,MV,1702617683
245,tanabe,33.7333,135.3667,70.81,83,40,5.75,JP,1702617976
246,teknaf,20.8624,92.3058,75.29,52,2,7.9,BD,1702617976
247,kuta,-8.7233,115.1723,86.0,79,40,10.36,ID,1702617976
248,jayapura,-2.5333,140.7,87.19,84,59,4.32,ID,1702617976
249,bousso,10.4795,16.7117,67.66,30,6,5.88,TD,1702617975
250,valle de la pascua,9.2155,-66.0073,76.55,77,97,7.67,VE,1702617977
251,ciudad lazaro cardenas,17.9583,-102.2,79.0,63,99,4.09,MX,1702617977
252,mount isa,-20.7333,139.5,101.97,27,40,16.11,AU,1702617977
253,tofol,5.3248,163.0078,82.18,83,100,5.75,FM,1702617977
254,panama city beach,30.1766,-85.8055,55.42,52,0,11.5,US,1702617978
255,alo,7.4178,6.7371,73.89,33,9,1.68,NG,1702617978
256,vylkove,45.4021,29.586,41.52,74,100,13.76,UA,1702617978
257,nadym,65.5333,72.5167,-15.54,100,80,7.11,RU,1702617979
258,fort mcmurray,56.7268,-111.381,27.91,63,40,8.05,CA,1702617979
259,perevolotskiy,51.8763,54.1938,11.25,65,84,14.94,RU,1702617979
260,moussoro,13.6408,16.4901,63.39,22,40,10.85,TD,1702617979
261,trinidad,-14.8333,-64.9,77.97,85,100,2.33,BO,1702617980
262,ishikawa,26.4233,127.8214,81.34,62,40,10.36,JP,1702617980
263,cartagena del chaira,1.3349,-74.8429,74.32,95,97,0.56,CO,1702617980
